exp,source,target,t_dijkstra,t_floyd
125,16,15,6.875200006106752e-05,0.02630435499986561
126,49,30,7.456200000888202e-05,0.02671637500043289
127,41,16,6.524100035676383e-05,0.0266676260002896
128,30,34,3.4826000046450645e-05,0.02879514400001426
129,37,12,3.1695000416220864e-05,0.026349242999913258
130,19,34,3.352600015205098e-05,0.02666791599995122
131,31,48,9.388599983140011e-05,0.028987387000142917
132,23,22,0.00012910199984617066,0.026834194000002753
133,39,17,0.00010959900009765988,0.026610547000018414
134,13,30,8.181399971363135e-05,0.026270909000231768
135,34,47,0.00011436900012995466,0.0292185159996734
136,21,2,6.121100022937753e-05,0.026815627999894787
137,14,11,8.117400011542486e-05,0.026583588999983476
138,24,4,6.986099970163195e-05,0.029007344000092417
139,1,32,5.721000025005196e-05,0.028150651000032667
140,48,22,9.990699982154183e-05,0.026849863000279584
141,40,15,5.551899994316045e-05,0.02656710600012957
142,17,15,0.00017135899997811066,0.028916758999912417
143,49,46,9.594599987394759e-05,0.026529838999977073
144,47,44,4.365700033304165e-05,0.02637415399976817
145,22,43,7.481200009351596e-05,0.02909376900015559
146,7,2,7.849300027373829e-05,0.026437523999902623
147,41,27,7.016200015641516e-05,0.02682389899973714
148,21,15,9.456600037083263e-05,0.026647160000266013
149,16,47,6.741100014551193e-05,0.028259538999918732
150,46,38,2.2343999717122642e-05,0.025731515999723342
151,8,2,5.6598999890411505e-05,0.026983535999988817
152,38,13,2.633399981277762e-05,0.029182543999922927
153,37,48,8.657399985168013e-05,0.02649034300020503
154,5,47,7.27320002624765e-05,0.02642941299973245
155,47,8,8.507399979862384e-05,0.025688318999982585
156,23,29,8.409399970332743e-05,0.028946624000127485
157,17,4,6.885199991302215e-05,0.027075900999989244
158,39,22,0.00012580100019476959,0.02622068800019406
159,9,24,9.230500018020393e-05,0.027887217000170494
160,34,28,9.517599983155378e-05,0.02684969399979309
161,19,23,7.722300006207661e-05,0.02670468999986042
162,40,24,0.00010304699981134036,0.02628076799965129
163,6,37,9.80260001597344e-05,0.02969044900009976
164,32,12,0.00012738099985654117,0.026936087999729352
165,4,29,0.00011117900021417881,0.02654638200010595
166,29,29,1.780299999154522e-05,0.02851691200021378
167,32,49,3.394599980310886e-05,0.028236054999979388
168,25,26,9.776599972610711e-05,0.02644102500016743
169,17,37,9.675599994807271e-05,0.027001049000318744
170,8,30,0.0002847380001185229,0.028213729000071908
171,43,39,0.00010337699995943694,0.026371980000021722
172,43,19,2.6854000225284835e-05,0.026508052999815845
173,36,36,1.7952999769477174e-05,0.02866696299997784
174,7,42,7.755299975542584e-05,0.026885065999977087
175,47,41,7.12619998921582e-05,0.02631244100030017
176,27,5,7.902400011516875e-05,0.026744742000119004
177,48,43,8.275400023194379e-05,0.029550248999839823
178,23,42,8.755499993640115e-05,0.025869457000226248
179,40,4,9.47660000747419e-05,0.026956457000324008
180,27,15,9.413499992660945e-05,0.027965296000274975
181,35,40,5.230799979472067e-05,0.026843579000342288
182,5,25,8.478400013700593e-05,0.026649956999790447
183,49,34,9.790600006454042e-05,0.026690563000101974
184,13,4,6.29599999228958e-05,0.02890985299973181
185,28,49,8.393400003114948e-05,0.027020277999781683
186,40,45,0.00010089699981108424,0.026525066000431252
187,22,23,8.91849999788974e-05,0.02871870100034357
188,11,15,5.90899999224348e-05,0.026713366999956634
189,13,1,3.756699970836053e-05,0.026729918999990332
190,10,45,9.483500025453395e-05,0.026937035000173637
191,28,16,0.0001030670000545797,0.028538950999973167
192,5,12,9.164599987343536e-05,0.026834777000203758
193,16,12,4.2346999634901294e-05,0.026894997999988846
194,32,7,5.820900014441577e-05,0.029653507000148238
195,46,40,4.897799999525887e-05,0.02626272199995583
196,6,31,8.710399970368599e-05,0.026520976000028895
197,30,40,8.783500015852042e-05,0.027279281000119227
198,8,25,7.918399978734669e-05,0.027625117999832582
199,37,37,1.873299970611697e-05,0.02650765299995328
200,8,39,9.135500022239285e-05,0.02610929699994813
201,12,15,0.0001038270002027275,0.0286036120000972
202,1,12,5.849900026078103e-05,0.026373619999958464
203,19,40,8.60750001265842e-05,0.026133699999718374
204,45,12,7.266200009325985e-05,0.027084378999916225
205,10,32,5.55990000066231e-05,0.028305058000114514
206,6,42,8.873400020092959e-05,0.025884907000090607
207,43,29,0.00010221700040347059,0.026130846999876667
208,48,28,4.033599998365389e-05,0.028597667000212823
209,17,40,2.4213999950006837e-05,0.02640197199980321
210,20,42,0.000109327999780362,0.026394920999791793
211,31,23,0.00011209800004507997,0.026659835999907955
212,49,27,6.145999986983952e-05,0.028436199000225315
213,28,40,3.956599994126009e-05,0.02684089500007758
214,2,26,8.486400020046858e-05,0.02690146500026458
215,34,43,5.920000012338278e-05,0.028823994000049424
216,46,40,7.200099980764207e-05,0.02635567600009381
217,22,7,9.414599981028005e-05,0.0269391709998672
218,34,40,0.00010276700004396844,0.027180141000371805
219,24,4,4.0145999719243264e-05,0.02885697900001105
220,3,41,8.874400009517558e-05,0.026284713999757514
221,35,11,3.413600006751949e-05,0.027347099000053277
